municipio,periodo,ocorrencias,ocorrencias_ameaça,ocorrencias_calúnia,ocorrencias_difamação,ocorrencias_estupro,ocorrencias_injúria,ocorrencias_lesão_corporal_grave_ou_gravíssima___dolosa,ocorrencias_lesão_corporal_leve___dolosa,ocorrencias_vias_de_fato,feminicidios,populacao_total,populacao_feminina,alfabetizacao_total,taxa_violencia_100k,taxa_feminicidio_100k,taxa_violencia_mes_anterior,taxa_violencia_3_meses_atras,taxa_violencia_6_meses_atras,houve_violencia_mes_anterior,houve_violencia_3_meses_atras,houve_violencia_6_meses_atras,media_3_meses,media_6_meses,variacao_mensal,variacao_3_meses,variacao_6_meses,feminicidios_mes_anterior,media_feminicidios_3_meses,ano,mes,mes_seno,mes_cosseno,escalada
ARABUTA,2020-07-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4378,2143,96.99,139.99066728884742,0.0,186.65422305179655,93.32711152589827,279.98133457769484,1,1,1,93.32711152589827,139.99066728884742,-0.25,0.5,-0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ARAQUARI,2020-07-01,22.0,13.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,45283,22325,97.0,98.54423292273236,0.0,138.85778275475923,49.27211646136618,125.41993281075028,1,1,1,89.58566629339305,98.54423292273236,-0.29032258064516125,1.0,-0.2142857142857143,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ARARANGUA,2020-07-01,44.0,24.0,0.0,0.0,0.0,6.0,0.0,13.0,1.0,0.0,71922,36697,97.25,119.90080933046298,0.0,147.15099326920458,166.22612202632368,155.32604845082705,1,1,1,138.06759862295738,139.43010781989446,-0.18518518518518523,-0.2786885245901639,-0.22807017543859653,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
ARMAZEM,2020-07-01,8.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,8834,4443,95.5,180.05851901868107,0.0,22.507314877335133,135.0438892640108,67.5219446320054,1,1,1,75.02438292445045,82.52682121689548,7.0,0.33333333333333326,1.6666666666666665,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ARROIO TRINTA,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556,1821,96.26,0.0,0.0,54.91488193300385,0.0,0.0,1,0,0,91.52480322167308,82.37232289950578,-1.0,,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
ARVOREDO,2020-07-01,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2510,1185,91.81,337.55274261603375,0.0,0.0,0.0,168.77637130801688,0,0,1,0.0,28.129395218002813,,,1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ASCURRA,2020-07-01,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8319,4196,95.99,142.99332697807435,0.0,23.83222116301239,119.16110581506197,95.32888465204957,1,1,1,87.38481093104544,150.9374006990785,5.0,0.19999999999999996,0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ATALANTA,2020-07-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3227,1580,96.54,63.29113924050633,0.0,126.58227848101266,253.16455696202533,316.4556962025316,1,1,1,126.58227848101266,210.9704641350211,-0.5,-0.75,-0.7999999999999999,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
AURORA,2020-07-01,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6780,3304,97.02,121.06537530266344,0.0,30.26634382566586,121.06537530266344,60.53268765133172,1,1,1,80.71025020177562,60.53268765133172,3.0,0.0,1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BALNEARIO ARROIO DO SILVA,2020-07-01,7.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15820,8062,96.96,86.82709005209625,0.0,111.6348300669809,99.23096005953857,334.9044902009427,1,1,1,140.57719341767964,204.6638551227983,-0.2222222222222222,-0.125,-0.7407407407407407,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BALNEARIO BARRA DO SUL,2020-07-01,12.0,7.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,14912,7482,96.71,160.3849238171612,0.0,187.11574445335472,120.28869286287089,133.65410318096767,1,1,1,147.0195134990644,144.79194511271496,-0.1428571428571428,0.3333333333333335,0.19999999999999996,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BALNEARIO CAMBORIU,2020-07-01,129.0,56.0,3.0,10.0,3.0,18.0,1.0,29.0,9.0,0.0,139155,73429,98.81,175.67990848302443,0.0,198.83152432962453,152.5282926364243,288.7142682046603,1,1,1,173.86409547544795,203.14408022261867,-0.11643835616438347,0.1517857142857144,-0.3915094339622641,0.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,1
BALNEARIO GAIVOTA,2020-07-01,6.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,15669,8017,96.67,74.84096295372333,0.0,112.261444430585,112.261444430585,361.73132094299615,1,1,1,99.78795060496445,187.10240738430835,-0.33333333333333337,-0.33333333333333337,-0.7931034482758621,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BALNEARIO PICARRAS,2020-07-01,19.0,9.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,27127,13747,97.49,138.2119735214956,0.0,109.11471593802284,80.01745835455009,196.4064886884411,1,1,1,109.11471593802283,128.512887660338,0.2666666666666666,0.7272727272727271,-0.2962962962962963,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BALNEARIO RINCAO,2020-07-01,7.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,15981,7985,96.56,87.66437069505322,0.0,162.8052598622417,200.37570444583594,212.8991859737007,1,1,1,175.32874139010644,185.7649759966604,-0.46153846153846156,-0.5625,-0.5882352941176471,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BANDEIRANTE,2020-07-01,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3144,1487,92.81,134.49899125756556,0.0,134.49899125756556,201.74848688634836,0.0,1,1,0,156.91548980049316,123.29074198610176,0.0,-0.33333333333333337,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BARRA BONITA,2020-07-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668,799,92.12,125.15644555694618,0.0,0.0,0.0,250.31289111389236,0,0,1,0.0,83.43763037129746,,,-0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BARRA VELHA,2020-07-01,41.0,19.0,0.0,1.0,0.0,8.0,0.0,7.0,6.0,0.0,45369,22990,97.56,178.33840800347977,0.0,121.79208351457156,178.33840800347977,221.83558068725532,1,1,1,146.44048136871103,162.3894446860954,0.4642857142857142,0.0,-0.196078431372549,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BELA VISTA DO TOLDO,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5872,2854,95.61,0.0,0.0,35.038542396636295,105.1156271899089,140.15416958654518,1,1,1,58.39757066106049,99.27587012380285,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BELMONTE,2020-07-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658,1323,92.89,75.58578987150416,0.0,302.34315948601665,0.0,226.75736961451247,1,0,1,100.78105316200555,151.17157974300832,-0.75,,-0.6666666666666666,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BENEDITO NOVO,2020-07-01,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10520,5165,97.11,77.44433688286544,0.0,77.44433688286544,77.44433688286544,96.8054211035818,1,1,1,96.8054211035818,67.76379477250727,0.0,0.0,-0.20000000000000007,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BIGUACU,2020-07-01,45.0,17.0,2.0,4.0,0.0,9.0,0.0,10.0,3.0,0.0,76773,39211,97.15,114.76371426385452,0.0,109.66310474101654,73.9588380811507,109.66310474101654,1,1,1,103.71239363103889,110.51320632815622,0.04651162790697683,0.5517241379310343,0.04651162790697683,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
